t_s,gt_x,gt_y,ekf_x,ekf_y,gt_error_m,divergence_m,gt_travelled_m
554.1,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
559.1,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
564.1,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
569.1,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
574.1,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
579.1,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
580.5,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
585.5,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
590.5,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
595.5,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
600.5,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
605.5,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
610.5,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
611.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
616.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
621.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
626.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
631.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
636.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
641.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
643.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
648.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
653.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
658.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
663.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
668.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
673.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
676.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
679.8,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
684.8,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
689.8,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
694.8,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
699.8,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
704.8,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
708.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
711.2,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
716.2,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
721.2,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
726.2,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
731.2,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
736.2,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
740.7,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
742.6,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
747.6,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
752.6,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
757.6,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
762.6,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
767.6,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
772.6,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
774.0,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
779.0,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
784.0,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
789.0,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
794.0,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
799.0,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
804.0,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
805.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
810.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
815.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
820.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
825.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
830.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
835.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
837.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
841.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
846.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
851.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
856.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
861.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
866.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
869.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
873.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
878.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
883.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
888.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
893.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
898.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
901.8,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
904.7,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
909.7,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
914.7,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
919.7,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
924.7,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
929.7,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
934.2,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
936.1,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
941.1,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
946.1,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
951.1,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
956.1,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
961.1,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
966.1,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
967.5,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
972.5,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
977.5,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
982.5,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
987.5,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
992.5,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
997.5,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
998.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1003.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1008.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1013.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1018.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1023.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1028.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1030.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1035.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1040.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1045.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1050.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1055.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1060.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1063.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1066.8,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1071.8,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1076.8,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1081.8,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1086.8,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1091.8,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1095.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1098.2,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1103.2,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1108.2,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1113.2,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1118.2,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1123.2,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1127.7,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1129.6,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
